==========================================
SLURM_JOB_ID = 588984
SLURM_NODELIST = gnode80
SLURM_JOB_GPUS = 1,2,3
==========================================
Namespace(dist_url='tcp://127.0.0.1:51446', epoch=1000, lr=0.0003, n_gpu=3, path='/ssd_scratch/cvit/aditya1/CelebAPaired/train/', sched=None, size=256)

  0%|          | 0/234 [00:00<?, ?it/s]
epoch: 1; mse: 0.32247; latent: 0.159; avg mse: 0.33578; lr: 0.00030:   9%|▉         | 21/234 [00:08<00:46,  4.58it/s]
epoch: 1; mse: 0.31449; latent: 0.176; avg mse: 0.33491; lr: 0.00030:   9%|▉         | 21/234 [00:08<00:46,  4.58it/s]
epoch: 1; mse: 0.31449; latent: 0.176; avg mse: 0.33491; lr: 0.00030:   9%|▉         | 22/234 [00:08<00:46,  4.57it/s]
epoch: 1; mse: 0.30385; latent: 0.187; avg mse: 0.33372; lr: 0.00030:   9%|▉         | 22/234 [00:08<00:46,  4.57it/s]
epoch: 1; mse: 0.30385; latent: 0.187; avg mse: 0.33372; lr: 0.00030:  10%|▉         | 23/234 [00:08<00:46,  4.58it/s]
epoch: 1; mse: 0.36521; latent: 0.263; avg mse: 0.33331; lr: 0.00030:  10%|▉         | 23/234 [00:09<00:46,  4.58it/s]
epoch: 1; mse: 0.36521; latent: 0.263; avg mse: 0.33331; lr: 0.00030:  10%|█         | 24/234 [00:09<00:45,  4.59it/s]
epoch: 1; mse: 0.32249; latent: 0.270; avg mse: 0.33205; lr: 0.00030:  10%|█         | 24/234 [00:09<00:45,  4.59it/s]
epoch: 1; mse: 0.32249; latent: 0.270; avg mse: 0.33205; lr: 0.00030:  11%|█         | 25/234 [00:09<00:45,  4.61it/s]
epoch: 1; mse: 0.32712; latent: 0.280; avg mse: 0.33133; lr: 0.00030:  11%|█         | 25/234 [00:09<00:45,  4.61it/s]
epoch: 1; mse: 0.32712; latent: 0.280; avg mse: 0.33133; lr: 0.00030:  11%|█         | 26/234 [00:09<00:45,  4.61it/s]
epoch: 1; mse: 0.32704; latent: 0.276; avg mse: 0.33136; lr: 0.00030:  11%|█         | 26/234 [00:09<00:45,  4.61it/s]
epoch: 1; mse: 0.32704; latent: 0.276; avg mse: 0.33136; lr: 0.00030:  12%|█▏        | 27/234 [00:09<00:44,  4.63it/s]
epoch: 1; mse: 0.33987; latent: 0.292; avg mse: 0.33130; lr: 0.00030:  12%|█▏        | 27/234 [00:09<00:44,  4.63it/s]
epoch: 1; mse: 0.33987; latent: 0.292; avg mse: 0.33130; lr: 0.00030:  12%|█▏        | 28/234 [00:09<00:44,  4.61it/s]
epoch: 1; mse: 0.33185; latent: 0.265; avg mse: 0.33107; lr: 0.00030:  12%|█▏        | 28/234 [00:10<00:44,  4.61it/s]
epoch: 1; mse: 0.33185; latent: 0.265; avg mse: 0.33107; lr: 0.00030:  12%|█▏        | 29/234 [00:10<00:44,  4.62it/s]
epoch: 1; mse: 0.32478; latent: 0.258; avg mse: 0.33107; lr: 0.00030:  12%|█▏        | 29/234 [00:10<00:44,  4.62it/s]
epoch: 1; mse: 0.32478; latent: 0.258; avg mse: 0.33107; lr: 0.00030:  13%|█▎        | 30/234 [00:10<00:44,  4.60it/s]
epoch: 1; mse: 0.34528; latent: 0.242; avg mse: 0.33067; lr: 0.00030:  13%|█▎        | 30/234 [00:10<00:44,  4.60it/s]
epoch: 1; mse: 0.34528; latent: 0.242; avg mse: 0.33067; lr: 0.00030:  13%|█▎        | 31/234 [00:10<00:44,  4.60it/s]
epoch: 1; mse: 0.30411; latent: 0.198; avg mse: 0.33014; lr: 0.00030:  13%|█▎        | 31/234 [00:10<00:44,  4.60it/s]
epoch: 1; mse: 0.30411; latent: 0.198; avg mse: 0.33014; lr: 0.00030:  14%|█▎        | 32/234 [00:10<00:44,  4.58it/s]
epoch: 1; mse: 0.29269; latent: 0.181; avg mse: 0.32946; lr: 0.00030:  14%|█▎        | 32/234 [00:10<00:44,  4.58it/s]
epoch: 1; mse: 0.29269; latent: 0.181; avg mse: 0.32946; lr: 0.00030:  14%|█▍        | 33/234 [00:10<00:43,  4.59it/s]
epoch: 1; mse: 0.31625; latent: 0.174; avg mse: 0.32945; lr: 0.00030:  14%|█▍        | 33/234 [00:11<00:43,  4.59it/s]
epoch: 1; mse: 0.31625; latent: 0.174; avg mse: 0.32945; lr: 0.00030:  15%|█▍        | 34/234 [00:11<00:43,  4.58it/s]
epoch: 1; mse: 0.29309; latent: 0.148; avg mse: 0.32946; lr: 0.00030:  15%|█▍        | 34/234 [00:11<00:43,  4.58it/s]
epoch: 1; mse: 0.29309; latent: 0.148; avg mse: 0.32946; lr: 0.00030:  15%|█▍        | 35/234 [00:11<00:43,  4.59it/s]
epoch: 1; mse: 0.32163; latent: 0.144; avg mse: 0.32956; lr: 0.00030:  15%|█▍        | 35/234 [00:11<00:43,  4.59it/s]
epoch: 1; mse: 0.32163; latent: 0.144; avg mse: 0.32956; lr: 0.00030:  15%|█▌        | 36/234 [00:11<00:43,  4.58it/s]
epoch: 1; mse: 0.34830; latent: 0.131; avg mse: 0.32956; lr: 0.00030:  15%|█▌        | 36/234 [00:11<00:43,  4.58it/s]
epoch: 1; mse: 0.34830; latent: 0.131; avg mse: 0.32956; lr: 0.00030:  16%|█▌        | 37/234 [00:11<00:42,  4.58it/s]
epoch: 1; mse: 0.31932; latent: 0.125; avg mse: 0.32965; lr: 0.00030:  16%|█▌        | 37/234 [00:12<00:42,  4.58it/s]
epoch: 1; mse: 0.31932; latent: 0.125; avg mse: 0.32965; lr: 0.00030:  16%|█▌        | 38/234 [00:12<00:42,  4.57it/s]
epoch: 1; mse: 0.32694; latent: 0.122; avg mse: 0.32945; lr: 0.00030:  16%|█▌        | 38/234 [00:12<00:42,  4.57it/s]
epoch: 1; mse: 0.32694; latent: 0.122; avg mse: 0.32945; lr: 0.00030:  17%|█▋        | 39/234 [00:12<00:43,  4.51it/s]
epoch: 1; mse: 0.30961; latent: 0.123; avg mse: 0.32888; lr: 0.00030:  17%|█▋        | 39/234 [00:12<00:43,  4.51it/s]
epoch: 1; mse: 0.30961; latent: 0.123; avg mse: 0.32888; lr: 0.00030:  17%|█▋        | 40/234 [00:12<00:42,  4.52it/s]
epoch: 1; mse: 0.31448; latent: 0.119; avg mse: 0.32849; lr: 0.00030:  17%|█▋        | 40/234 [00:12<00:42,  4.52it/s]
epoch: 1; mse: 0.31448; latent: 0.119; avg mse: 0.32849; lr: 0.00030:  18%|█▊        | 41/234 [00:12<00:42,  4.54it/s]
epoch: 1; mse: 0.32927; latent: 0.156; avg mse: 0.32823; lr: 0.00030:  18%|█▊        | 41/234 [00:12<00:42,  4.54it/s]
epoch: 1; mse: 0.32927; latent: 0.156; avg mse: 0.32823; lr: 0.00030:  18%|█▊        | 42/234 [00:12<00:42,  4.54it/s]
epoch: 1; mse: 0.31499; latent: 0.170; avg mse: 0.32769; lr: 0.00030:  18%|█▊        | 42/234 [00:13<00:42,  4.54it/s]
epoch: 1; mse: 0.31499; latent: 0.170; avg mse: 0.32769; lr: 0.00030:  18%|█▊        | 43/234 [00:13<00:41,  4.56it/s]
